731,496,8,102,37,62,151,600,756,641,542,854,677,260,444,281,122,860,685,57,401,715,821,768,134,653,187
879,806,31,707,568,503,803,482,618,859,659,304,280,186,521,728,567,385,324,825,139,292,182,760,419,864,12
117,823,174,395,295,682,174,647,197,568,497,98,584,838,461,414,149,620,345,514,200,479,166,311,885,370,615
110,456,680,494,337,1699,1473,608,1574,1329,254,391,485,1780,1691,934,1581,195,830,811,110,589,452,813,719,140,67
135,629,673,685,981,559,711,1707,1109,1473,1007,513,1460,278,1577,491,1765,569,184,481,715,584,678,44,209,35,93
350,24,259,1617,1081,102,1259,249,1150,1259,1435,1165,1705,1582,1331,720,682,288,186,681,858,380,791,113,667,253,335
886,652,888,1106,414,419,649,159,306,1394,818,785,31,716,1253,1412,1236,807,366,439,822,515,647,579,532,669,704
195,865,203,1037,993,1173,1325,644,842,1779,768,1272,414,144,39,1792,822,589,705,438,753,310,444,211,299,329,476
857,163,143,954,1719,411,1461,813,1285,909,1188,1636,846,1397,344,541,487,429,891,55,94,288,683,588,368,116,778
83,653,71,495,1745,1539,1651,1781,1175,508,812,135,989,374,952,1543,832,172,82,371,202,821,50,454,673,336,513
282,264,62,624,1777,248,1148,883,1044,1093,514,355,786,768,1321,937,337,403,252,829,867,721,745,212,521,468,741
632,525,431,672,1579,336,787,765,1494,1183,649,730,601,807,1012,1022,1648,611,219,866,528,808,207,387,836,555,774
323,498,495,674,547,455,98,453,542,768,5,709,625,701,240,415,748,397,56,688,846,13,46,74,369,391,155
510,859,321,447,869,882,199,791,203,428,781,816,592,794,647,216,881,239,60,330,295,288,228,48,27,214,657
656,736,603,843,531,739,578,803,685,710,350,651,298,668,165,232,111,367,541,775,59,669,496,424,434,189,600
551,883,72,552,696,253,11,107,50,675,841,35,123,163,777,330,501,747,536,48,682,660,554,35,338,341,529
200,571,196,63,601,811,897,604,840,497,623,436,156,338,705,214,696,69,241,113,345,739,236,79,34,346,633
765,732,26,575,843,461,154,572,623,880,718,373,690,334,867,485,318,685,885,344,882,74,361,158,435,73,24
506,377,211,58,13,704,601,251,367,294,810,369,583,634,85,316,635,414,547,190,483,362,283,337,41,107,14
325,629,654,233,751,452,423,157,137,422,270,517,866,843,661,724,177,450,701,675,52,639,40,175,451,103,475
238,548,430,625,383,181,799,656,651,563,74,373,105,130,118,799,168,260,420,733,292,704,487,771,840,312,488
